OBJECTID,ID,ST_ABBREV,ACSTOTPOP,D_PM25_2,B_PM25_D2,P_PM25_D2,D_OZONE_2,B_OZONE_D2,P_OZONE_D2,D_DSLPM_2,B_DSLPM_D2,P_DSLPM_D2,D_CANCR_2,B_CANCR_D2,P_CANCR_D2,D_RESP_2,B_RESP_D2,P_RESP_D2,D_PTRAF_2,B_PTRAF_D2,P_PTRAF_D2,D_LDPNT_2,B_LDPNT_D2,P_LDPNT_D2,D_PNPL_2,B_PNPL_D2,P_PNPL_D2,D_PRMP_2,B_PRMP_D2,P_PRMP_D2,D_PTSDF_2,B_PTSDF_D2,P_PTSDF_D2,D_PWDIS_2,B_PWDIS_D2,P_PWDIS_D2,PM25,B_PM25,P_PM25,OZONE,B_OZONE,P_OZONE,DSLPM,B_DSLPM,P_DSLPM,CANCER,B_CANCR,P_CANCR,RESP,B_RESP,P_RESP,PTRAF,B_PTRAF,P_PTRAF,PRE1960PCT,B_LDPNT,P_LDPNT,PNPL,B_PNPL,P_PNPL,PRMP,B_PRMP,P_PRMP,PTSDF,B_PTSDF,P_PTSDF,PWDIS,B_PWDIS,P_PWDIS,VULEOPCT,B_VULEOPCT,P_VULEOPCT,VULSVI6PCT,B_VSVI6PCT,P_VSVI6PCT,MINORPCT,B_MINORPCT,P_MINORPCT,LOWINCPCT,B_LWINCPCT,P_LWINCPCT,LINGISOPCT,B_LNGISPCT,P_LNGISPCT,LESSHSPCT,B_LESHSPCT,P_LESHSPCT,UNDER5PCT,B_UNDR5PCT,P_UNDR5PCT,OVER64PCT,B_OVR64PCT,P_OVR64PCT,Shape_Length,Shape_Area
4916,40131036043,AZ,990,36.21156054,6,50,277.937188,6,50,3.896797568,6,51,213.1718967,6,50,3.010513615,6,50,4258.549525,6,57,0.149198787,7,63,0.234498878,6,51,2.040914582,6,52,1.029079127,6,51,0,9,80,7.105437978,5,45,54.53687778,10,91,0.764630218,8,73,41.82862235,6,57,0.590723445,6,56,835.6132426,9,86,0.029275809,6,59,0.046013406,4,35,0.400468573,7,61,0.201926065,5,47,0,7,60,0.361616162,6,51,0.216818131,7,63,0.314141414,4,39,0.409090909,7,60,0.070234114,8,77,0.051886792,4,31,0.056565657,5,44,0.398989899,10,92,4388.644099,948580.4269
4917,40131036051,AZ,1663,-904.4613441,4,36,-6837.18482,4,36,-87.96872405,3,26,-5219.097072,4,35,-73.27344776,4,34,-16899.75766,4,30,-2.850017765,2,17,-6.0509287,4,35,-25.57300643,4,33,-52.48902364,3,21,0,9,80,7.222825137,5,48,54.60022222,10,92,0.702498471,7,66,41.67853692,6,57,0.585145295,6,54,134.9576687,5,40,0.022759602,6,56,0.048321357,4,37,0.204220285,5,46,0.419165553,7,62,0,7,60,0.281169116,4,37,0.156310617,4,39,0.252555622,3,29,0.309782609,5,46,0,4,36,0.041189931,3,25,0.021647625,2,16,0.312687913,9,87,9136.991634,3475113.772
4918,40131036052,AZ,2339,-4552.398694,1,3,-34413.40136,1,3,-442.7703927,1,0,-26269.12786,1,2,-368.8050906,1,2,-46775.52177,2,18,-9.903381765,1,8,-31.34255927,1,7,-121.2437395,2,11,-191.2969199,1,6,0,9,80,7.222825137,5,48,54.60022222,10,92,0.702498471,7,66,41.67853692,6,57,0.585145295,6,54,74.21393359,3,27,0.015712682,6,50,0.049728031,4,39,0.192365034,5,44,0.303511246,6,57,0,7,60,0.087002993,1,2,0.101406742,2,11,0.094057289,1,7,0.079948696,1,6,0,4,36,0.057777778,4,34,0.058999572,5,47,0.317657118,9,88,8200.114275,3088789.257
4919,40131036053,AZ,1035,-2174.757277,2,18,-16439.85953,2,18,-211.5188494,1,7,-12549.20336,2,16,-176.1843829,2,16,-232284.4676,1,3,0,7,63,-15.82577388,2,19,-60.94393015,3,20,-136.3171464,1,9,0,9,80,7.222825137,5,48,54.60022222,10,92,0.702498471,7,66,41.67853692,6,57,0.585145295,6,54,771.4654454,9,85,0,4,39,0.052560715,5,43,0.202407577,5,46,0.45273784,7,63,0,7,60,0.065555224,1,0,0.072093287,1,2,0.08115942,1,5,0.049951028,1,3,0,4,36,0,1,4,0.095652174,8,79,0.205797101,8,75,4454.956439,1185576.452
4920,40131036054,AZ,951,-1733.488269,3,23,-13104.13071,3,23,-168.6006286,2,12,-10002.90793,3,22,-140.4357002,3,21,-105528.8565,1,9,0,7,63,-12.03020064,3,24,-40.74742631,3,26,-46.63385532,3,23,0,9,80,7.222825137,5,48,54.60022222,10,92,0.702498471,7,66,41.67853692,6,57,0.585145295,6,54,439.7009723,8,73,0,4,39,0.05012554,5,40,0.16977994,4,39,0.194306583,5,45,0,7,60,0.104100946,1,4,0.070101647,1,1,0.159831756,2,15,0.048370137,1,2,0,4,36,0,1,4,0.056782334,5,45,0.155625657,7,65,4384.185948,1083891.382
4921,40131036061,AZ,1504,1358.630708,7,65,10616.54662,7,66,126.345804,8,71,7940.708248,7,66,111.0801219,7,66,184011.5202,9,83,0,7,63,9.882712753,7,67,29.8990218,7,64,29.8990218,7,64,0,9,80,7.036981421,5,44,54.98804118,11,95,0.654403783,6,59,41.12862758,6,52,0.575335703,6,50,953.0813939,9,88,0,4,39,0.051187174,5,41,0.154860964,4,35,0.154860964,4,37,0,7,60,0.484839444,7,66,0.28265775,8,78,0.554521277,7,67,0.415157612,7,61,0.127697842,9,86,0.284739983,9,83,0.027260638,2,19,0.286569149,9,85,3598.221734,812511.9598
4922,40131036062,AZ,1121,-985.888413,4,35,-7703.881737,4,34,-91.68265034,3,25,-5762.163483,4,33,-80.60513016,4,33,-35636.63864,3,21,-1.965345245,2,19,-7.007195772,4,33,-22.38804544,4,34,-22.38804544,4,35,0,9,80,7.036981421,5,44,54.98804118,11,95,0.654403783,6,59,41.12862758,6,52,0.575335703,6,50,254.3638415,6,57,0.014028056,5,48,0.050015302,4,39,0.159799281,4,36,0.159799281,4,38,0,7,60,0.231489741,3,27,0.146321154,4,34,0.281891169,4,34,0.181088314,3,25,0.068136273,8,76,0.064027939,4,37,0.095450491,8,79,0.187332739,8,72,4600.60107,892014.5132
4923,40131036063,AZ,1870,335.153511,6,54,2618.940418,6,54,31.16758626,7,60,1958.85183,6,55,27.4017749,6,55,55645.94916,8,71,5.298338325,7,69,2.333712383,6,56,8.418428851,6,56,8.418428851,6,57,0,9,80,7.036981421,5,44,54.98804118,11,95,0.654403783,6,59,41.12862758,6,52,0.575335703,6,50,1168.35867,10,91,0.111245466,8,78,0.04899931,4,38,0.176755801,5,40,0.176755801,5,42,0,7,60,0.381937594,6,54,0.195087932,6,56,0.360962567,5,47,0.402912621,6,59,0,4,36,0.130181818,7,60,0.054545455,5,43,0.221925134,8,78,5691.056365,1802637.7
4924,40131036071,AZ,1309,-1558.496687,3,26,-11996.55329,3,25,-134.8597887,2,17,-8982.844209,3,25,-124.9770303,3,24,-96291.23016,2,10,0,7,63,-11.5787566,3,25,-30.38599638,4,31,-31.74238039,3,29,0,9,80,7.145229508,5,46,55.00051895,11,95,0.618290786,6,56,41.18358676,6,52,0.572981369,5,49,441.4657695,8,73,0,4,39,0.053085049,5,43,0.139310478,4,31,0.145529083,4,35,0,7,60,0.189839572,2,18,0.12358957,3,22,0.273491215,4,33,0.10618793,2,10,0,4,36,0.114341085,6,56,0.064171123,6,52,0.183346066,8,72,3989.056337,787619.8244
4925,40131036072,AZ,1340,-443.9408432,5,43,-3417.241774,5,43,-38.41507576,4,37,-2558.780821,5,43,-35.59995263,5,42,-20060.40502,3,28,-4.207522509,2,14,-3.433098037,5,40,-8.743291848,5,42,-10.5403407,5,42,0,9,80,7.145229508,5,46,55.00051895,11,95,0.618290786,6,56,41.18358676,6,52,0.572981369,5,49,322.8722927,7,64,0.06772009,8,71,0.055255726,5,46,0.140723315,4,32,0.169646822,5,40,0,7,60,0.310101888,5,42,0.141043149,4,31,0.309701493,4,39,0.310502283,5,46,0,4,36,0.032771536,3,20,0,1,7,0.193283582,8,73,3818.288803,718946.4439
